timestamp_start,timestamp_end,latency_ms,request_id,project_id,book_id,row_id,phase,user_action,type,model,status,tokens_input,tokens_output,image_size,image_quality,retry_count,approval_outcome,pricing_version,cost_estimated,error
2026-02-05T20:44:37.316010+00:00,2026-02-05T20:44:43.243636+00:00,5927,faf24c17-36b3-4f93-b163-ad53aa2c9b84,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1503,417,,,0,na,2026-02,0.0012683999999999998,
2026-02-05T20:47:57.783256+00:00,2026-02-05T20:48:40.031030+00:00,42247,de39a743-d52a-4c3c-9035-33a20ede2201,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1468,1848,,,0,na,2026-02,0.003544,
2026-02-05T20:48:40.036126+00:00,2026-02-05T20:48:45.457484+00:00,5421,6672ad45-3a4b-4208-a2e8-9dc950109fd2,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1500,373,,,0,na,2026-02,0.0011968,
2026-02-05T20:49:02.915863+00:00,2026-02-05T20:49:25.872440+00:00,22956,37185223-e2aa-468c-804e-4bad409f18e0,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1468,1689,,,0,na,2026-02,0.0032895999999999997,
2026-02-05T20:49:25.876484+00:00,2026-02-05T20:49:34.656374+00:00,8779,82aca64b-a829-430a-b47f-3a46e74fb0dc,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1503,428,,,0,na,2026-02,0.0012859999999999998,
2026-02-05T20:50:08.930162+00:00,2026-02-05T20:50:26.494764+00:00,17564,1b29a4e4-c224-409f-972f-26d20c79142c,Peru para colorear,Peru para colorear,.png,image_generation,single,generate_image,gpt-image-1.5,success,,,1024x1024,low,0,na,2026-02,0.009,
2026-02-05T20:52:13.100063+00:00,2026-02-05T20:52:30.790979+00:00,17690,85884cea-5730-4e1e-bc7f-903900454946,Peru para colorear,Peru para colorear,.png,image_generation,single,generate_image,gpt-image-1.5,success,,,1024x1536,low,0,na,2026-02,0.013,
2026-02-05T21:36:01.988542+00:00,2026-02-05T21:36:21.006655+00:00,19018,eb819a25-d54a-422b-b9e2-2dce281489bc,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1468,414,,,0,na,2026-02,0.0012496,
2026-02-05T21:37:35.240895+00:00,2026-02-05T21:37:41.778038+00:00,6537,ab0a6763-fbef-4fb2-b703-9987d743d719,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1468,381,,,0,na,2026-02,0.0011968,
2026-02-05T21:37:48.200748+00:00,2026-02-05T21:37:54.265150+00:00,6064,c1debe7b-a7be-48dd-8cec-f0745b3fa09f,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1468,360,,,0,na,2026-02,0.0011632,
2026-02-05T21:39:09.242267+00:00,2026-02-05T21:39:16.865632+00:00,7623,106a8c70-6a47-40a8-b32e-837a1a6d3207,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1468,462,,,0,na,2026-02,0.0013264,
2026-02-05T21:39:53.824213+00:00,2026-02-05T21:40:09.932256+00:00,16108,8e2617f2-d4c3-42aa-bb7c-4039b3646221,Europa para colorear 50 imagenes,Europa para colorear 50 imagenes,004,image_generation,single,generate_image,gpt-image-1.5,success,,,1024x1536,low,0,na,2026-02,0.013,
2026-02-05T21:41:02.959201+00:00,2026-02-05T21:41:02.959201+00:00,0,25c61399-703d-431b-b36f-6610c232d7b7,Europa para colorear 50 imagenes,Europa para colorear 50 imagenes,001,review,reject,image_review,editorial,success,,,,,0,rejected,2026-02,0.0,
2026-02-05T21:41:07.689220+00:00,2026-02-05T21:41:07.689220+00:00,0,86a4fe6c-542e-4f27-aeb3-844b5e6347d1,Europa para colorear 50 imagenes,Europa para colorear 50 imagenes,002,review,reject,image_review,editorial,success,,,,,0,rejected,2026-02,0.0,
2026-02-05T21:41:09.910557+00:00,2026-02-05T21:41:09.910557+00:00,0,8fe0bc57-95f1-4303-8ad2-bdd5e2ea5999,Europa para colorear 50 imagenes,Europa para colorear 50 imagenes,003,review,reject,image_review,editorial,success,,,,,0,rejected,2026-02,0.0,
2026-02-05T21:41:11.909768+00:00,2026-02-05T21:41:11.909768+00:00,0,3b07a501-3642-4dfd-a887-762b05b43bad,Europa para colorear 50 imagenes,Europa para colorear 50 imagenes,004,review,reject,image_review,editorial,success,,,,,0,rejected,2026-02,0.0,
2026-02-05T21:41:30.633885+00:00,2026-02-05T21:41:48.533098+00:00,17899,d5cce668-265f-40ba-a8d4-5151176ad8a6,Europa para colorear 50 imagenes,Europa para colorear 50 imagenes,005,image_generation,single,generate_image,gpt-image-1.5,success,,,1024x1536,low,0,na,2026-02,0.013,
